text
"Brooklyn, Bay Ridge: Drop-off site at 4th Avenue Presbyterian Church (6753 4th Avenue, Brooklyn, NY 11220). Open Every day (Start Time: Dawn - End Time:  Dusk). Note: No meat, bones, or dairy."
"Manhattan, East Midtown-Turtle Bay: Drop-off site at Dag Hammarskjold Plaza Greenmarket (E 47th St & 2nd Ave). Open Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM). Note: No additional notes."
"Manhattan, Hell's Kitchen: Drop-off site at Hudson River Park's Pier 84 at W. 44th St. (Pier 84 at W. 44th St. near dog park). Open Every day (Start Time: 7:00 AM - End Time:  7:00 PM). Note: No additional notes."
"Manhattan, East Midtown-Turtle Bay: Drop-off site at 58th Street Library FSDO (127 East 58th Street). Open Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM). Note: No additional notes."
"Manhattan, Tribeca-Civic Center: Drop-off site at Tribeca Greenmarket (Greenwich St. & Duane St). Open Saturday (Start Time: 8:00 AM - End Time:  1:00 PM). Note: No additional notes."
"Staten Island, St. George-New Brighton: Drop-off site at St. George Greenmarket (St. Marks Pl and Hyatt St). Open Saturday (Start Time: 8:00 AM - End Time:  1:00 PM). Note: No additional notes."
"Manhattan, Manhattanville-West Harlem: Drop-off site at St. Mary's Harlem (521 W 126th St, New York, NY 10027). Open Friday (Start Time: 8:30 AM - End Time:  12:30 PM). Note: No meat, bones, or dairy"
"Brooklyn, Crown Heights (North): Drop-off site at 1100 Bergen Street Community Garden (1107 Bergen Street, Brooklyn, NY 11216). Open Sunday (Start Time: 10:00 AM - End Time:  3:00 PM). Note: No additional notes."
"Brooklyn, Prospect Park: Drop-off site at Nurture BK (Prospect Park, West of the entrance on Parkside Av (& Ocean Av)). Open Sunday (Start Time: 9:00 AM - End Time:  11:00 AM). Note: No additional notes."
"Brooklyn, Bushwick (West): Drop-off site at BK Rot (1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)). Open Sunday (Start Time: 12:00 PM - End Time:  3:00 PM). Note: No additional notes."
"Brooklyn, Fort Greene: Drop-off site at Fort Greene Greenmarket (Washington Park and Myrtle Ave). Open Saturday (Start Time: 9:00 AM - End Time:  2:00 PM). Note: No additional notes."
"Staten Island, Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights: Drop-off site at Grace Foundation (460w Brielle Avenue). Open Monday (Start Time: 9:00 AM - End Time:  12:00 PM). Note: No additional notes."
"Brooklyn, Brownsville: Drop-off site at Iso Student Farm (514 Rockaway Avenue, Brooklyn, NY 11212). Open Friday and Saturday (Start Time: 9:00 AM - End Time:  1:00 PM). Note: No additional notes."
"Manhattan, East Village: Drop-off site at La Plaza Cultural Community Garden (674 East 9th Street). Open Saturday and Sunday (Start Time: 2:00 PM - End Time:  4:00 PM). Note: Please carefully read instructions here: https://bit.ly/laplazadropoff"
"Queens, Baisley Park: Drop-off site at South Jamaica Infinity Garden (150-04 115 Dr, Jamaica, NY, 11434). Open Sun& Weds (Start Time: Sun: 10:30AM - End Time:  Sun: 11:30AM). Note: No additional notes."
"Queens, Douglaston-Little Neck: Drop-off site at St. Anastasia Roman Catholic Church (246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden). Open Friday and Saturday (Start Time: Friday 8:00 AM, Saturday 12:00 PM - End Time:  Friday 12:00 PM, Saturday 12:30 PM). Note: No additional notes."
"Brooklyn, Cypress Hills: Drop-off site at Cypress Hills Farmstand (Fulton St, between Logan and Richmond Sts). Open Friday (Start Time: 10:00 AM - End Time:  1:00 PM). Note: No meat, bones, or dairy"
"Queens, Long Island City-Hunters Point: Drop-off site at Astoria Pug: Hunter's Point (46th Avenue and 5th Street). Open Tuesday (Start Time: 9:00 AM - End Time:  12:00 PM). Note: No additional notes."
"Bronx, Crotona Park East: Drop-off site at Bronx River House / Starlight Park (1490 Sheridan Blvd). Open Friday (Start Time: 9:00 AM - End Time:  11:00 AM). Note: No additional notes."
"Manhattan, Upper West Side-Lincoln Square: Drop-off site at Tucker Square Thursday Greenmarket (66th St and Columbus Ave.). Open Thursday (Start Time: 8:00 AM - End Time:  11:00 AM). Note: No additional notes."
"Brooklyn, Greenpoint: Drop-off site at North Brooklyn Compost (Russell Street &, Nassau Ave, Brooklyn, NY 11222). Open Sunday (Start Time: 10:00 AM - End Time:  1:00 PM). Note: No additional notes."
"Brooklyn, Kensington: Drop-off site at Kensington Food Scrap Drop-off (McDonald Ave & Albemarle Rd). Open Saturday (Start Time: 8:30 AM - End Time:  11:30 AM). Note: No meat, bones, or dairy."
"Queens, East Elmhurst: Drop-off site at McIntosh Neighborhood Assoc. (25-16 McIntosh St, East Elmhurst, NY, 11369). Open Every 3rd Saturday of the month (Start Time: 10:00 AM - End Time:  12:00 PM). Note: No additional notes."
"Manhattan, Hamilton Heights-Sugar Hill: Drop-off site at Frank White Memorial Garden (506 West 143rd Street, New York, NY 10031). Open 24/7 (Start Time: 24/7 - End Time:  24/7). Note: Garden staff will be available for questions or concerns from 10am-6pm."
"Brooklyn, East New York (North): Drop-off site at East New York Farms: Concerned Residents of Barbey Street Community Garden (351 Barbey St, Brooklyn, NY 11207). Open 24/7 (Start Time: 24/7 - End Time:  24/7). Note: No additional notes."
"Brooklyn, East Flatbush-Erasmus: Drop-off site at Newkirk Ave - Little Haiti Food Scrap Drop-off Site (Newkirk Ave & Nostrand Ave). Open Wednesdays (Start Time: 9:30 AM - End Time:  1:30 PM). Note: No additional notes."
"Manhattan, Tribeca-Civic Center: Drop-off site at Hudson River Park's Pier 25 at N. Moore St. (Pier 25 at N. Moore St. near kid's playground). Open Every day (Start Time: 7:00 AM - End Time:  7:00 PM). Note: No additional notes."
"Brooklyn, Carroll Gardens-Cobble Hill-Gowanus-Red Hook: Drop-off site at Gowanus Salt Lot (2 2nd Ave, Brooklyn, NY 11215). Open 24/7 (Start Time: 24/7 - End Time:  24/7). Note: No additional notes."
"Brooklyn, Coney Island-Sea Gate: Drop-off site at PS 90 Coney Island (2840 W 12th Street, Brooklyn, NY 11224). Open Wednesday (Start Time: 7:30 AM - End Time:  10:30 AM). Note: No additional notes."
"Bronx, Pelham Parkway-Van Nest: Drop-off site at Bronx Park East Farmers Market (2222 Bronx Park East, Bronx, NY, 10462). Open Sundays (Start Time: 9:00 AM - End Time:  2:00 PM). Note: Not accepted: meat, bones, or dairy"
"Brooklyn, Prospect Lefferts Gardens-Wingate: Drop-off site at Maple Street Community Garden (237 Maple St, Brooklyn, NY 11225). Open Wednesday and Saturday (Start Time: 10:30 AM - End Time:  12:30 PM). Note: No additional notes."
"Manhattan, West Village: Drop-off site at Hudson River Park's Pier 51 at Horatio St. (Pier 51 at Horatio St. near playground). Open Every day (Start Time: 7:00 AM - End Time:  7:00 PM). Note: No additional notes."
"Queens, Jackson Heights: Drop-off site at JH Scraps (35-20 69th Street, Jackson Heights, NY 11372). Open Saturday (Start Time: 11:00 AM - End Time:  1:00 PM). Note: No additional notes."
